encoding,depth,seed,seasonal_lag,center_fidelity,neighbor_geometric_mean_fidelity,neighbor_arithmetic_mean_fidelity,log10_seasonal_prominence,seasonal_prominence_ratio,seasonal_prominence_arithmetic_ratio
learnable_seasonal_cdf,6,43,36,0.0203745208633952,0.00010793895615442995,0.00012332117784801043,2.2759091906466677,188.75966184298707,165.21510107944454
learnable_seasonal_cdf,6,44,12,0.0090714841395917,8.996313814855314e-05,9.890039336626116e-05,2.003613749243991,100.8355680591339,91.72343840935969
learnable_seasonal_cdf,6,44,24,0.0399529550216503,0.00010822233614357726,0.0001233741453684413,2.567232001752699,369.1747604546735,323.8357185967598
learnable_seasonal_cdf,6,44,36,0.0065649806954166,8.580585605582128e-05,9.556490206851736e-05,1.8837165248900143,76.50970454913623,68.69656697507723
learnable_seasonal_cdf,6,45,12,0.0154621673447928,0.00010645677918282549,0.0001334395267499832,2.1620970466768576,145.24361401389538,115.87396719236901
learnable_seasonal_cdf,6,45,24,0.0497086007637776,0.0001588739168209157,0.00023760602234631936,2.495378935837344,312.88081617456214,209.20598002068112
learnable_seasonal_cdf,6,45,36,0.0097321834389325,9.854511169686308e-05,0.00011004699210325167,1.9945752001275037,98.75866262011958,88.43661469457767
learnable_seasonal_cdf,6,46,12,0.0064977374852448,7.499395228982995e-05,7.941922780212792e-05,1.9377359193035884,86.64348639918222,81.81567191050809
learnable_seasonal_cdf,6,46,24,0.0202458646099803,7.68595750417799e-05,8.37539215464505e-05,2.4206383493563832,263.413694376724,241.73034809781183
learnable_seasonal_cdf,6,46,36,0.0029796854515998,7.145002697283747e-05,7.318700691610848e-05,1.6201680234282936,41.70306965359944,40.71331206392006
learnable_seasonal_cdf_rz,1,42,12,0.4252613508206356,0.0011426836643671676,0.0029308688761535,2.570729895550097,372.1601735298724,145.0973649079629
learnable_seasonal_cdf_rz,1,42,24,0.3945521996532171,0.0009730500826663249,0.002898101253654175,2.6079692750620125,405.47984803832094,136.14162001956686
learnable_seasonal_cdf_rz,1,42,36,0.4050235041756984,0.0007723028094675552,0.0025063888063579353,2.7196926120554017,524.4361398282776,161.59643832923234
learnable_seasonal_cdf_rz,1,43,12,0.4740864563719612,0.0008548034055122106,0.0025274726524902747,2.7439913049268436,554.6146088267883,187.57332780825624
learnable_seasonal_cdf_rz,1,43,24,0.4382665649452165,0.0007971182730863977,0.0027175392657462585,2.740215574908466,549.8137224332755,161.27331460098145
learnable_seasonal_cdf_rz,1,43,36,0.3896480963816575,0.000609466389196985,0.002610059712266852,2.805722798665067,639.3266360349195,149.28704295552146
learnable_seasonal_cdf_rz,1,44,12,0.5787275145135229,0.003140571931969121,0.009652940005202676,2.265465385592816,184.27456114678583,59.95349750455346
learnable_seasonal_cdf_rz,1,44,24,0.4924213458581543,0.003472862532978328,0.010863298330896325,2.151649277913144,141.79119996317667,45.32889835655695
learnable_seasonal_cdf_rz,1,44,36,0.4664119436222709,0.0023326894869449975,0.006855175414178825,2.3009127309970228,199.9460049151704,68.03792980374696
learnable_seasonal_cdf_rz,1,45,12,0.5516257316646898,0.0010172924155020932,0.005290966861703694,2.7341987098990472,542.2489377279296,104.25802052501724
