encoding,depth,seed,tau,n_pairs,mean_fidelity,std_fidelity_over_time,median_fidelity,min_fidelity,max_fidelity,mean_infidelity,mean_log_fidelity,geometric_mean_fidelity,mean_fidelity_over_haar,median_fidelity_over_haar
ry,1,44,13,92,0.0065435732219249,0.0182433877585746,0.0001063876333171,7.834890742714868e-10,0.1230250147563855,0.993456426778075,-9.446242452268342,7.898580128120913e-05,107.20990366801904,1.7430549842677845
ry,1,44,14,91,0.0025147822372021,0.0113743123682228,3.823661624254665e-06,3.2846695570310265e-11,0.0840799022091283,0.9974852177627976,-12.7782733104272,2.8214113755658024e-06,41.20219217431982,0.0626468720517884
ry,1,44,15,90,5.3549148727234e-05,0.0002053710101795,2.692837606670705e-07,4.754511223972589e-11,0.0016928431002706,0.9999464508512728,-14.704612631552497,4.110246569985368e-07,0.8773492527470019,0.0044119451347692
ry,1,44,16,89,9.319743644913118e-06,3.730079781317731e-05,1.7318808863939708e-08,2.981926346050506e-12,0.0002363953157059,0.9999906802563552,-17.86608261073335,1.7412410971980613e-08,0.1526946798782565,0.0002837513644267
ry,1,44,17,88,8.210132644551651e-07,3.134978760466589e-06,2.6101634546827087e-10,1.6520259630112366e-16,2.372285116726897e-05,0.9999991789867356,-22.18905751052875,2.308951255306377e-10,0.0134514813248334,4.27649180415215e-06
ry,1,44,18,87,4.957376296553869e-06,3.252281933163457e-05,1.3800009454795316e-10,1.3611387506831915e-14,0.0002926018294484,0.9999950426237036,-22.25235075405758,2.1673390608861038e-10,0.0812216532427385,2.260993549073665e-06
ry,1,44,19,86,1.0812435730036356e-06,7.573284186154183e-06,2.570141798963504e-10,5.1354389835361716e-18,7.014591301644524e-05,0.9999989187564268,-23.037686933621007,9.882337662739107e-11,0.0177150947000915,4.2109203234218045e-06
ry,1,44,20,85,2.858764145547096e-07,8.986377941704293e-07,4.9271987619739365e-11,1.8750562799494503e-16,4.293455529597898e-06,0.9999997141235856,-23.62276051307037,5.5051031629572276e-11,0.0046837991760643,8.072722451618098e-07
ry,1,44,21,84,1.4517469727131234e-05,5.658931579058945e-05,1.5139245937391894e-07,2.80883783571424e-14,0.0004643680282327,0.9999854825302732,-16.87556842971227,4.6884981825621784e-08,0.2378542240093181,0.0024804140543822
ry,1,44,22,83,0.0007544702076434,0.0025270170752745,1.1768995371204303e-05,1.4049495962890958e-10,0.016427819020225,0.9992455297923566,-11.61652213568498,9.015888612893108e-06,12.361239882030748,0.1928232201618113
