encoding,depth,tau,n_seeds,mean_fidelity,sd_fidelity_across_seeds,mean_median_fidelity,sd_median_fidelity_across_seeds,mean_geometric_fidelity,mean_fidelity_over_haar,sd_fidelity_over_haar_across_seeds
learnable_seasonal_cdf_rz,4,31,5,0.00011129451367933413,5.194281215664155e-05,6.416677863485673e-05,3.576170530207854e-05,5.0578059869909136e-05,1.8234493121225483,0.8510310343749878
learnable_seasonal_cdf_rz,4,32,5,7.264464781671995e-05,7.3583257974198656e-06,4.497937811515555e-05,5.99210955369331e-06,3.736101353005572e-05,1.1902099098291394,0.12055880986492712
learnable_seasonal_cdf_rz,4,33,5,7.661611516295835e-05,1.8910407293425674e-05,4.447446304458226e-05,9.359955431911138e-06,3.6278755801602646e-05,1.2552784308299094,0.30982811309548625
learnable_seasonal_cdf_rz,4,34,5,8.50059961280929e-05,2.10620804962469e-05,4.26807585876842e-05,7.974995272519856e-06,3.983211647575879e-05,1.392738240562998,0.3450811268509339
learnable_seasonal_cdf_rz,4,35,5,0.00032117082586556,0.00013290181820642573,0.00014314990033380878,4.1359766723732255e-05,0.00013913539452239484,5.2620628109824334,2.1774633894938002
learnable_seasonal_cdf_rz,4,36,5,0.01813383249274192,0.0033193545373536035,0.012401194278461,0.0036171029454118045,0.010031862938655938,297.1047115610842,54.38430474000154
learnable_seasonal_cdf_rz,4,37,5,0.00026164931786669995,9.798383307773027e-05,0.00013578348873718703,5.031294486178313e-05,0.00012157045262385535,4.286862423928986,1.6053671211456362
learnable_seasonal_cdf_rz,4,38,5,7.209466806579614e-05,1.831101021800508e-05,4.1938738854087596e-05,1.3387524222541106e-05,3.714021477646873e-05,1.1811990415900797,0.30000759141194916
learnable_seasonal_cdf_rz,4,39,5,6.897612145012375e-05,1.6654900155554875e-05,4.458354235157516e-05,1.3572422116962955e-05,3.5707550278105874e-05,1.1301047738388275,0.2728738841486111
learnable_seasonal_cdf_rz,4,40,5,7.402161387757952e-05,1.4109054593251659e-05,4.504216622818651e-05,8.257581490371785e-06,3.715101866561937e-05,1.2127701217702627,0.2311627504558352
learnable_seasonal_cdf_rz,5,1,5,0.0005079598887937999,0.00036765834914276877,0.00018598273970945619,0.00010882585291923768,0.0001672207839232124,8.322414817998633,6.023714392355386
learnable_seasonal_cdf_rz,5,2,5,6.598716228205858e-05,1.3812749176071895e-05,3.8497848196614725e-05,9.256622233327582e-06,3.4727791587231854e-05,1.081133666829248,0.22630808250076198
learnable_seasonal_cdf_rz,5,3,5,5.894854973848699e-05,5.7356893850486814e-06,3.856082904731292e-05,2.5639764500252753e-06,2.9520696690689804e-05,0.9658130389153706,0.09397353488463751
learnable_seasonal_cdf_rz,5,4,5,5.828387205492821e-05,1.4594604728801397e-05,3.914436197300173e-05,9.760107470661364e-06,3.2985135757519786e-05,0.9549229597479438,0.23911800387668208
learnable_seasonal_cdf_rz,5,5,5,9.165111376321492e-05,2.16653572136042e-05,5.380800403271957e-05,1.2471386727650623e-05,4.8540493302819796e-05,1.501611847896644,0.3549652125879469
learnable_seasonal_cdf_rz,5,6,5,0.00020046145292346003,8.091507984612718e-05,0.00011058538977441869,5.81355680512889e-05,8.665060845433232e-05,3.2843604446991512,1.3257126681985978
learnable_seasonal_cdf_rz,5,7,5,9.355744193194267e-05,3.123596747064663e-05,5.2308487082864495e-05,1.5553354045382013e-05,4.427248426905758e-05,1.5328451286131102,0.5117700910394322
learnable_seasonal_cdf_rz,5,8,5,6.489923929402797e-05,1.0152775809657326e-05,4.2146010409143605e-05,4.878304423915755e-06,3.441618543918372e-05,1.0633091365933542,0.1663430788654256
